,Name,Url,County,Sites,Average_rent,Unnamed: 0,FullstreetAddress,Latitude,Longitude
695,Lafayette Place,https://www.mhvillage.com/parks/15065, Macomb ,254,N/A,658,"21155 Warner, Warren, MI, 48091",42.45129,-83.07388
696,East Village Estates,https://www.mhvillage.com/parks/253, Macomb ,708,N/A,659,"57400 Bedford Blvd., Washington, MI, 48094",42.71725,-83.02236
697,Springbrook Estates,https://www.mhvillage.com/parks/15147, Macomb ,398,675,663,"71400 Van Dyke Road, Romeo, MI, 48065",42.81963,-83.01812
698,Rudgate Manor,https://www.mhvillage.com/parks/15089, Macomb ,931,400,664,"5150 Rudgate Boulevard, Sterling Heights, MI, 48310",42.56452,-83.06894
699,Carriage Way,https://www.mhvillage.com/parks/222, Saint Clair ,798,N/A,1024,"29800 Guilford Circle, Chesterfield, MI, 48051",42.67515,-82.81371
700,Silver Springs,https://www.mhvillage.com/parks/37937, Saint Clair ,547,N/A,1025,"43600 Park Drive West, Clinton Township, MI, 48036",42.59859,-82.91368
701,Rudgate Clinton,https://www.mhvillage.com/parks/302, Macomb ,667,N/A,667,"20475 Foster Drive, Clinton Township, MI, 48036",42.57842,-82.91662
702,Pine Crest Estates,https://www.mhvillage.com/parks/31376, Saint Clair ,214,440,1026,"30086 Pineview Circle, Chesterfield, MI, 48051",42.67515,-82.81371
703,Dequindre Estates,https://www.mhvillage.com/parks/15707, Macomb ,303,N/A,669,"2017 Shirewood Dr., Shelby Township, MI, 48317",42.65294,-83.09154
704,Westbridge Manor,https://www.mhvillage.com/parks/251, Saint Clair ,1446,500,1028,"45301 Chateau Thierry Blvd., Macomb, MI, 48044",42.65061,-82.92604
705,Glennwood Village,https://www.mhvillage.com/parks/15233, Macomb ,147,659,677,"2526 Morrissey Road, Warren, MI, 48091",42.46934,-83.05494
706,Millstone Pond,https://www.mhvillage.com/parks/32594, Saint Clair ,263,417,1030,"37781 Sandstone Trail, Lenox, MI, 48048",42.74174,-82.79775
707,Fairchild Lake,https://www.mhvillage.com/parks/15138, Saint Clair ,300,485,1034,"49645 Au Lac Road, Chesterfield, MI, 48051",42.67515,-82.81371
708,Willow Point,https://www.mhvillage.com/parks/33956, Saint Clair ,284,381,1037,"43400 Lenfesty Drive, Harrison Township, MI, 48045",42.61222,-82.85886
709,Westbrook,https://www.mhvillage.com/parks/126708, Saint Clair ,N/A,N/A,1038,"45013 Catalpa Blvd., Macomb, MI, 48044",42.6296,-82.90159
710,Leslie's Mobile Home Village,https://www.mhvillage.com/parks/15067, Macomb ,166,N/A,678,"25214 Gratiot Avenue, Roseville, MI, 48066",42.50967,-82.93596
711,Riverbrook,https://www.mhvillage.com/parks/224, Saint Clair ,390,N/A,1041,"59477 Hardy Lane, New Haven, MI, 48048",42.74174,-82.79775
712,Parkway Village LLC,https://www.mhvillage.com/parks/15090, Saint Clair ,242,347,1044,"23500 South Keystone Way, Clinton Township, MI, 48036",42.59859,-82.91368
716,Richmond Place,https://www.mhvillage.com/parks/15145, Saint Clair ,117,N/A,1035,"36401 Division Road, Richmond, MI, 48062",42.80925,-82.75075
735,River Haven Estates,https://www.mhvillage.com/parks/15826, Mason ,65,N/A,705,"24 Caberfae Highway, Manistee, MI, 49660",44.23921,-86.19861
736,East Lake Estates,https://www.mhvillage.com/parks/16019, Mason ,197,N/A,706,"829 Oregon Avenue, Manistee, MI, 49660",44.23921,-86.19861
737,The Bluffs on Manistee Lake,https://www.mhvillage.com/parks/105890, Mason ,100,N/A,708,"956 Tennessee Avenue, Manistee, MI, 49660",44.23582,-86.29581
738,Forest Pines Manistee,https://www.mhvillage.com/parks/15591, Mason ,75,375,709,"1525 West County Line Road, Manistee, MI, 49660",44.23921,-86.19861
739,Tamarac Village,https://www.mhvillage.com/parks/470, Mason ,293,N/A,699,"2875 North Lakeshore Drive, Ludington, MI, 49431",43.96235,-86.39777
740,Ludington Mobile Home Park,https://www.mhvillage.com/parks/15589, Mason ,68,N/A,700,"5040 Rasmussen Road, Ludington, MI, 49431",43.96235,-86.39777
741,Hidden Forest,https://www.mhvillage.com/parks/30045, Mason ,116,407,701,"3626 West Hidden Forest Drive, Ludington, MI, 49431",43.96235,-86.39777
742,Holiday Village Of Scottville,https://www.mhvillage.com/parks/15590, Mason ,150,N/A,702,"1701 West Us Highway 10-31, Scottville, MI, 49454",43.95513,-86.32162
743,Heritage Hills Mobile Home Estates,https://www.mhvillage.com/parks/15593, Mason ,30,N/A,703,"3677 South Pere Marquette, Ludington, MI, 49431",43.96235,-86.39777
744,Laman's Landing Resort,https://www.mhvillage.com/parks/15592, Mason ,32,N/A,704,"6100 North Beaune Road, Ludington, MI, 49431",43.96235,-86.39777
